,left,top,right,bottom,Unnamed: 4,fishnet-ID,building-area-sum,building_density,building_type,bu-sum-in-block,block area,bu_den_N,bu_typ_N,blo_sum_N
212,857863.0751,,858063.0751,,212,213,0,0.0,0.0,0.0,0.0,,,
213,857863.0751,,858063.0751,,213,214,0,0.0,0.0,0.0,0.0,,,
214,857863.0751,,858063.0751,,214,215,6915,0.172875,2.0,3.0,35729.0,0.08694174512864407,0.2,0.16666666666666666
215,857863.0751,,858063.0751,,215,216,9182,0.22955,3.0,4.0,33815.0,0.1154775691052817,0.4,0.25
216,857863.0751,,858063.0751,,216,217,7904,0.1976,4.0,7.0,10200.0,0.09939076582246614,0.6,0.5
217,857863.0751,,858063.0751,,217,218,2626,0.06565,1.0,8.0,4503.0,0.03295403051205881,0.0,0.5833333333333334
218,857863.0751,,858063.0751,,218,219,0,0.0,0.0,0.0,0.0,,,
219,857863.0751,,858063.0751,,219,220,0,0.0,0.0,0.0,0.0,,,
220,857863.0751,,858063.0751,,220,221,0,0.0,0.0,0.0,0.0,,,
221,857863.0751,,858063.0751,,221,222,0,0.0,0.0,0.0,0.0,,,
222,857863.0751,,858063.0751,,222,223,0,0.0,0.0,0.0,0.0,,,
223,857863.0751,,858063.0751,,223,224,0,0.0,0.0,0.0,0.0,,,
224,857863.0751,,858063.0751,,224,225,0,0.0,0.0,0.0,0.0,,,
225,857863.0751,,858063.0751,,225,226,0,0.0,0.0,0.0,0.0,,,
226,857863.0751,,858063.0751,,226,227,0,0.0,0.0,0.0,0.0,,,
227,857863.0751,,858063.0751,,227,228,0,0.0,0.0,0.0,0.0,,,
228,858063.0751,,858263.0751,,228,229,0,0.0,0.0,0.0,0.0,,,
229,858063.0751,,858263.0751,,229,230,0,0.0,0.0,0.0,0.0,,,
230,858063.0751,,858263.0751,,230,231,0,0.0,0.0,0.0,0.0,,,
231,858063.0751,,858263.0751,,231,232,0,0.0,0.0,0.0,0.0,,,
232,858063.0751,,858263.0751,,232,233,0,0.0,0.0,0.0,0.0,,,
233,858063.0751,,858263.0751,,233,234,0,0.0,0.0,0.0,0.0,,,
234,858063.0751,,858263.0751,,234,235,0,0.0,0.0,0.0,0.0,,,
235,858063.0751,,858263.0751,,235,236,0,0.0,0.0,0.0,0.0,,,
236,858063.0751,,858263.0751,,236,237,0,0.0,0.0,0.0,0.0,,,
237,858063.0751,,858263.0751,,237,238,0,0.0,0.0,0.0,0.0,,,
238,858063.0751,,858263.0751,,238,239,5832,0.1458,2.0,1.0,44553.0,0.07330950103217361,0.2,0.0
239,858063.0751,,858263.0751,,239,240,7014,0.17535,1.0,7.0,9480.0,0.08818790594632697,0.0,0.5
240,858063.0751,,858263.0751,,240,241,11102,0.27755,1.0,12.0,8251.0,0.1396455364785258,0.0,0.9166666666666666
241,858063.0751,,858263.0751,,241,242,6475,0.161875,1.0,6.0,17034.0,0.08140325260560898,0.0,0.4166666666666667
242,858063.0751,,858263.0751,,242,243,7274,0.18185,2.0,4.0,17939.0,0.09146065152812044,0.2,0.25
243,858063.0751,,858263.0751,,243,244,12674,0.31685,2.0,4.0,22041.0,0.15943305976536934,0.2,0.25
244,858063.0751,,858263.0751,,244,245,12825,0.320625,1.0,5.0,22121.0,0.1613337696994109,0.0,0.3333333333333333
245,858063.0751,,858263.0751,,245,246,11691,0.292275,1.0,5.0,32633.0,0.14705956396958866,0.0,0.3333333333333333
246,858063.0751,,858263.0751,,246,247,19409,0.485225,1.0,5.0,51239.0,0.24420975781682697,0.0,0.3333333333333333
247,858063.0751,,858263.0751,,247,248,17966,0.44915,1.0,3.0,74307.0,0.22604601983787323,0.0,0.16666666666666666
248,858063.0751,,858263.0751,,248,249,1360,0.034,1.0,4.0,78651.0,0.017018277025326017,0.0,0.25
249,858063.0751,,858263.0751,,249,250,3541,0.088525,1.0,2.0,74734.0,0.044471577463370424,0.0,0.08333333333333333
250,858063.0751,,858263.0751,,250,251,5645,0.141125,1.0,0.0,0.0,0.0709556417098837,0.0,
251,858063.0751,,858263.0751,,251,252,6697,0.167425,2.0,1.0,12950.0,0.08419767383314032,0.2,0.0
