name,url,review count,aggregating rating value,price range,address,postcode,category
Harrys - Lund,/Restaurant_Review-g189838-d3483544-Reviews-Harrys_Lund-Lund_Skane_County.html,88.0,4.0,$$ - $$$,6 Bangatan,222 21,FoodEstablishment
Ha Long Viet-Thai Restaurang,/Restaurant_Review-g189838-d5936436-Reviews-Ha_Long_Viet_Thai_Restaurang-Lund_Skane_County.html,42.0,4.5,$$ - $$$,Ostra Martensgatan 19,222 61,FoodEstablishment
Gamla Franska,/Restaurant_Review-g189838-d12811361-Reviews-Gamla_Franska-Lund_Skane_County.html,68.0,4.0,$$ - $$$,Martenstorget 1 Saluhallen,22351,FoodEstablishment
Italia il Ristorante,/Restaurant_Review-g189838-d784332-Reviews-Italia_il_Ristorante-Lund_Skane_County.html,277.0,3.5,$$ - $$$,6-8 Stora Fiskaregatan,222 24,FoodEstablishment
ST Michel Vin Och Tapas,/Restaurant_Review-g189838-d4472172-Reviews-ST_Michel_Vin_Och_Tapas-Lund_Skane_County.html,67.0,4.0,$$ - $$$,"St Michel vin och tapas, O. Martensgatan 13 223 61 LUND",223 61,FoodEstablishment
Farmshack BBQ,/Restaurant_Review-g189838-d10469052-Reviews-Farmshack_BBQ-Lund_Skane_County.html,55.0,4.0,$$ - $$$,Dammstorpsvagen 131 Dammstorpsgard,225 92,FoodEstablishment
Bonsai Sushi Bar,/Restaurant_Review-g189838-d6893496-Reviews-Bonsai_Sushi_Bar-Lund_Skane_County.html,35.0,4.5,$$ - $$$,23 Kyrkogatan,222 22,FoodEstablishment
Mui Gong,/Restaurant_Review-g189838-d941304-Reviews-Mui_Gong-Lund_Skane_County.html,83.0,4.0,$$ - $$$,21 Kyrkogatan,222 22,FoodEstablishment
Restaurang Rauhrackel,/Restaurant_Review-g189838-d1042647-Reviews-Restaurang_Rauhrackel-Lund_Skane_County.html,114.0,4.0,$$ - $$$,Stora Algatan 5,223 50,FoodEstablishment
Valvet,/Restaurant_Review-g189838-d789029-Reviews-Valvet-Lund_Skane_County.html,48.0,4.0,$,Allhelgona kyrkogata 6,,FoodEstablishment
Stadsparken Restaurang &amp; Cafe,/Restaurant_Review-g189838-d3476471-Reviews-Stadsparken_Restaurang_Cafe-Lund_Skane_County.html,93.0,3.5,$$ - $$$,Stadsparksgatan,222 29,FoodEstablishment
Ramklints,/Restaurant_Review-g189838-d9735716-Reviews-Ramklints-Lund_Skane_County.html,18.0,4.5,$,10 Maartenstorget,223 51,FoodEstablishment
pintxos,/Restaurant_Review-g189838-d5969596-Reviews-Pintxos-Lund_Skane_County.html,116.0,3.5,$$ - $$$,2 Lilla Graabroedersgatan,222 22,FoodEstablishment
Gront o Gott,/Restaurant_Review-g189838-d8479646-Reviews-Gront_o_Gott-Lund_Skane_County.html,23.0,4.0,$,3 Stora Graabroedersgatan,222 22,FoodEstablishment
"Lund-Berlin ""Doner Precis Som I Berlin""",/Restaurant_Review-g189838-d12534665-Reviews-Lund_Berlin_Doner_Precis_Som_I_Berlin-Lund_Skane_County.html,12.0,5.0,$,Sankt Petri Kyrkogatan 19,,FoodEstablishment
