[Swedish],48,19,9,3,"December 10, 2015 ",Upp och ner!,,"En berg och dalbana i sushikvalitet... När sushin är bra är den riktigt riktigt bra, men tyvärr har jag även...More"
[Swedish],48,8,2,4,"November 6, 2015 ",Trevligt sushiställe,"Lund, Sweden","Bra mat, trevlig personal, snabb service, men lokalen är lite liten. Ligger centralt i Lund och har normala priser."
[Swedish],48,11,2,4,"November 4, 2015 ",Snabb och god! ,"Lund, Sweden",Man kan alltid lita på zen sushi att leverera. Jag är nöjd med maten. Definitivt bra men är kanske inte...More
[Swedish],48,4,5,5,"September 28, 2015 ",Mysigt och hemtrevligt!!,"Orebro, Sweden","Det var mysigt inne ,atmosfären var mysig! Fräsch och fint.
Maten var god, bra service och trevliga personal.
En av...More"
[Swedish],48,3,2,5,"August 8, 2015 ",Bästa sushin och yakiniku,"Bollebygd, Sweden","En grymt bra sushiställe med bra service och bästa sushin och framförallt yakiniku jag/vi ätit.
Varit där ett antal gånger...More"
[Swedish],48,2,,5,"July 23, 2015 ",Bästa restaurangen,"Copenhagen, Denmark",Bästa restaurangen ever riktigt god sushi kommer garanterat att rekommendera er samt att jag kommer fortsätta komma till er hoppas...More
[Swedish],48,72,18,5,"June 17, 2015 ",Fräsch sushi med knorr.,"Lomma, Sweden","Bra sushiställe i Lund med lite olika nivåer på maten för olika smak och plånböcker, Fint utbud av både kall...More"
[Swedish],48,90,32,5,"March 27, 2015 ",Frsächt och gott!,Sweden,Här finns både sushi och varmrätter. Supergod mat och trevlig personal. Kan vara lite trångt lunchtid men alltid rent och...More
[Swedish],48,16,5,1,"January 20, 2015 ",Mediokert,"Ostersund, Sweden","Tog takeaway. Inte prisvärt. Slarviga och för stora rullar. Trots att vi valde den ""lyxiga"" omakase-sushin var det ordinära fiskar,...More"
[Swedish],48,28,8,5,"December 29, 2014 ",Supergott,"Gothenburg, Sweden","Jätte god sushi m fiterad räka i. Har jag bara ätit i Vietnam innan.
Frächt ställe å bra servic.
Kommer...More"
[Swedish],48,25,8,4,"March 10, 2014 ","Gott, frächt och trevligt bemötande",,Mitt förstaval när det gäller sushi i Lund. Inte nyskapande eller lyxigt utan bara traditionell sushi som den skall smaka....More
[Swedish],48,10,7,5,"July 4, 2013 ",Lunds bästa sushi!,Lund,"Äter här några gånger varje månad och det är alltid lika gott. Kan inte få nog av deras sushi. 
Kan...More"
[Swedish],48,175,66,5,"March 30, 2013 ",Riktigt bra sushi!,"Lund, Sweden","Riktigt bra sushi, bland Lunds bästa. Kan även rekommendera Yakiniku, absolut bästa i stan! Helt fantastiskt."
[Swedish],48,3,1,4,"February 25, 2013 ",Bra sushi,,"Jag tycker Zen har bra standard, antagligen bäst i Lund när det gäller sushi. De kan vara lite ojämna i...More"
[Danish],3,115,18,3,"March 1, 2018 ","God mad, mærkelig suppe","Copenhagen, Denmark","Maden er frisk og god. De varme retter var også lækre, men suppen (som man kan få til sin frokost/lunch)...More"
[Danish],3,55,7,5,"May 13, 2016 ","Frisklavet, lækker sushi og japanske drikkevarer.","Gjern, Denmark","Restauranten serverer frisklavet sushi efter ønske.
Der kan fås alt fra enkle sushi til mere avancerede og pyntede, grillede sushi."
[Danish],3,92,22,4,"February 6, 2016 ",Frisk sushi,"Aarhus, Denmark",Fantastisk sushi sted. Sushien er frisklavet efter ordre og servers elegant på træplader og glasfade. Fint udvalg af øl fra...More
"[Chinese, (Sim.)]",1,,,4,"May 25, 2016 ",菜不错，就是三文鱼不够新鲜,,菜不错，就是三文鱼不够新鲜，而且时间比较...More
[German],1,166,51,4,"May 14, 2013 ",Sehr gutres Sushi zu einem guten Preis,"Freienstein-Teufen, Switzerland","Das Sushi hier ist nicht gerade wie wir es gewohnt waren, aber trotzdem sehr gut gemacht. Die Bestellung war sehr...More"
[Japanese],1,54,6,5,"July 13, 2016 ",ヨーロッパで進化した握り寿司,"Malmo, Sweden","握りが中心の2メニューを頼んでみました。""OMAKASE""はマグロ、サーモン、エビなどのこちらでよく見るネタが中心。ハマ...More"
[Norwegian],1,23,13,4,"July 9, 2013 ",Gudagott,"Malmo, Sweden",Världen godaste mat i all sin enkelhet heter Yakiniku. It's to die for helt enkelt! Tråkigt att de inte har...More
[Portuguese],1,3,2,5,"September 22, 2016 ",Boa comida com bons preços,,"A principio, parecia um sushi como muitos outros por ai, mas algo de especial havia no sabor da comida, questionei...More"
[Spanish],1,32,9,4,"September 19, 2016 ",Bién para una cena rapida y fresca,"Vilafranca del Penedes, Spain","Sushi bar situado en el centro de Lund.
Dispone de las tipicas variedades de sushi de otras tantas mas ""modernas""....More"
