features,Jan_freq,Feb_freq,Mar_freq,Apr_freq,May_freq,Jun_freq,Jul_freq,Aug_freq,Sep_freq,Oct_freq,Nov_freq,Dec_freq
Driveway,0,0,0,0,0,0,1,1,0,0,0,0
Polder,0,0,0,0,0,0,1,0,0,0,0,0
Beach,0,0,0,0,0,0,1,1,0,0,0,0
Full-size car,0,0,0,0,0,0,1,0,0,0,0,0
Cow-goat family,0,0,0,0,0,0,1,0,0,0,0,0
Hotel,0,0,0,0,0,0,1,1,0,0,0,0
Streetball,0,0,0,0,0,0,1,0,0,0,0,0
Goat,0,0,0,0,0,0,1,0,0,0,0,0
Junction,0,0,0,0,0,0,1,0,0,0,0,0
Creek,0,0,0,0,0,0,1,0,1,1,0,0
Air sports,0,0,0,0,0,0,1,0,0,0,0,0
Swimming,0,0,0,0,0,0,1,0,0,0,0,0
Backyard,0,0,0,0,0,0,1,0,0,1,0,0
Bird,0,0,0,0,0,0,1,0,1,0,0,0
Automotive tire,0,0,0,0,0,0,1,0,0,0,0,0
Tire,0,0,0,0,0,0,1,0,0,0,0,0
