"[Chinese, (Sim.)]",1,6,,4,"January 21, 2018 ",味道还不错，服务好。,,瑞典菜式，感受总的来说很不错。酒吧装修风...More
[English],94,121,24.0,5,"May 21, 2017 ","Great food, friendly service","Lund, Sweden",Great pizzas and other food. Nice outdoor seating. Friendly and helpful staff. Great for a nice relaxed dinner with family or friends.
[English],94,35,10.0,5,"May 24, 2017 ",Great food and staff,"Lund, Sweden","The restaurant serves smaller dishes and 2-3 per person is recommended. We were three women and chose two dishes each, which were enough for us. We were all very pleased with our food. Delicious! 

The helpful and charming staff contributed even further to a pleasant...More"
[English],94,1,,4,"May 26, 2016 ","Nice atmosphere, friendly helpful staff",,Food and drink were both good!  I ordered pizza which was good quality and I could watch it being prepared in a large oven at the back of the bar. I ordered a red wine followed by a tasty wheat beer from the tap.
[English],94,6,3.0,1,"May 29, 2017 ",Horrible dining experience,,"We went to V.E.D to celebrate our anniversary, and as we brought our boy (2 years of age) we didn't choose among the Michelin-restaurants, we chose VED, as we had heard that they had good food, pizza etc, that also would be ok for our...More"
[English],94,2,2.0,2,"May 31, 2016 ",Disappointment!,,"We ate the lunch of the day, the food was very good but unfortunately the portions were too small.
In addition, the staff was straight out RUDE. We were completely shocked! 

I do not recommend, and will not be returning to this place!"
[English],94,131,73.0,3,"October 1, 2016 ",Nice enough resaurant; sort of tapas meals style.,Out'n'About,"Had this restaurant recommended by our local hotel. It's situated very nicely on a corner of the Lund central town square so is in a nice area with other eating options and it looks nice.

The main meals are designed to be smaller serves and...More"
[English],94,5,,5,"October 10, 2014 ",Beautiful and Sumptuous,"Dumfries and Galloway, United Kingdom",Went here for an evening meal with a couple of friends. We got almost all the options on the menu for each course and split it between us so we could have a taste of everything. My favourite starter was the parsnip soup. So much...More
[English],94,166,57.0,4,"October 12, 2017 ",Great place to dine al fresco!,"Eslov, Sweden",Great place to meet for a drink after work or have a meal.  Likely the best summer sidewalk cafe in Lund. Lunch specials are a good value and tasty.  The pizza is also good.
[English],94,33,14.0,3,"October 14, 2017 ","Good food, but inflexible staff","Lund, Sweden","I love their evening menu: the courses are small and you are expected to order several of them, to make up the meal. All the dishes I had were delicious, and the price level is fairly good, considering the location and quality. 
My gripe is...More"
[English],94,2,,4,"October 15, 2017 ",Amazing place,,"Outstanding service combined with a harmonious atmosphere and great tasting food. 

The two ladies who served us were exceptional in the service they gave, not only us but everyone we saw them interacting with. We came without having booked a table but one of the...More"
[English],94,4,,4,"October 20, 2014 ",Good food!,"Heesch, The Netherlands","Good restaurant and good food! The meat was very tasty and the desert was great!!! I had the chocolate dessert with grilled banana and merengue, mmmmm! The service was perfect, she spoke perfect english and we got some extra bread without asking. The price was...More"
[English],94,21,8.0,5,"October 24, 2014 ",Indulgence at your service.,"Luxembourg City, Luxembourg","What an establishment, rustique and yet contemporary. Interesting format regarding the dishes, a mid-size version..! Very tasty food and pleasant service."
[English],94,357,107.0,5,"October 28, 2018 ",The best pizza in town,"Lund, Sweden","Very centrally located restaurant. Here you ll have the best pizza in town. Italian food. Risotto, pannacotta very good. Friendly staff"
[English],94,93,37.0,5,"October 29, 2017 ",The place to go eat.,"Gothenburg, Sweden",This is the one. Make a reservation and go here after they turn on the ala’carte at 5. You will get small diches but order 2 - 3 and split between. The food is crisp and full of flawors. Exelent blend of tastes and textures....More
[English],94,9,4.0,5,"October 30, 2016 ",Wonderful Place to Eat,"Boston, Massachusetts, アメリカ合衆国","Despite not having a reservation, the staff was able to find me a table for one.   The restaurant was very busy and I was grateful to be able to eat there.   The food was served hot and my meal was fantastic.    The waiter was friendly...More"
[English],94,23,9.0,3,"October 4, 2017 ",Does not follow  the laws!!,"Fuengirola, Spain","Good food, fantastic pizza BUT  no disable toilet!!!! And they more or less did'nt give any notice to my remark. THAT'S BAD!! Just raised their shoulders a bit.......

I've been around in the world and have seen wonderful solutions on how to make a toilet...More"
[English],94,15,2.0,4,"October 7, 2015 ",Great place for informal dinner,"Lund, Sweden","This restaurant is one of my favourites of my hometown. We were there with 2 of our children and shared the charkuteries as a starter. Enough for us, even with our 15-year old son. Then pizza, not as good as real Italian in Italy, but...More"
[English],94,135,34.0,4,"September 18, 2015 ",Always a good choice,"Finale Emilia, Italy","I have the opportunity to go to Lund about 3-4 times per year, because my job and when feasible I choose for a dinner there.
The atmosphere is very nice and surely indicated for a business dinner; the kitchen offers a good selection of Nordic...More"
[English],94,486,156.0,3,"September 22, 2014 ",Pricy lunch for what you get,"Lund, Sweden","A group of us recently had lunch at Ved.  While the food was good and reasonable portions, I thought is was a bit overpriced."
[English],94,26,4.0,5,"September 22, 2017 ","Amazing food, better service","Wes Hollywood, United States","My mother and I went there for lunch on a rainy day (last Tuesday, Sept. 19th).  Other restaurants chose to close their lunch hours early, but the waitress at Ved was kind enough to take us in the last five minutes, though all of the...More"
