Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
1286,Lund_01742,Natural landscape,Body of water,Nature,Bank,Water resources,Water,Nature reserve,Vegetation,Natural environment,Pond,Stadsparken,Martin Andersso, May 2018
1290,Lund_01321,Tree,Landmark,Architecture,Sky,Steeple,Botany,Building,Church,Grass,Spire,Lundagérd,Lundagérd, May 2017
1291,Lund_01018,Landmark,Sky,Building,Architecture,City,Daytime,Facade,Town,Human settlement,Urban area,(I LR G L,g\ Stefanie Graham, May 2018
1335,Lund_03171,Body of water,Water,Nature,River,Water resources,Natural landscape,Sky,Tree,Vegetation,Watercourse,Nobbel6vs mosse,L 1T T, May 2014
1341,Lund_00460,Tree,Sky,Grass,Public space,Architecture,Botany,Church,Building,Park,Spring,[T L He 1 BT,% William Térneber, May 2018
1345,Lund_01715,Town,Neighbourhood,Building,Street,Transport,Human settlement,Architecture,Road,City,Residential area,Café ltalia,‘f James Andrews, May 2017
1352,Lund_01678,Fountain,Nature,Tree,Daytime,Water,Sky,Natural landscape,Public space,Water feature,Botany,Stadsparken ¢,-1 LR, May 2018
1355,Lund_03190,Landmark,Architecture,Building,Church,Medieval architecture,Sky,Steeple,Town,Place of worship,Spire,Lundagérd ¢,Janek Friesen, May 2016
1358,Lund_02222,House,Building,Property,Home,Residential area,Architecture,Neighbourhood,Mansion,Estate,Real estate,Dévenheten Lund,Kommunikation |, May 2007
1359,Lund_00668,Palace,Building,Estate,Mansion,Tree,Plaza,House,Tourism,Architecture,City,Lundagérd,Robert Schuhma, May 2018
1372,Lund_00456,Landmark,Building,Architecture,Property,Stately home,Town,City,Estate,Château,Palace,Akademiska Férenin,6 IR DL, May 2004
1374,Lund_01285,Landmark,Architecture,Building,Church,Place of worship,Medieval architecture,Steeple,Town,Cathedral,Sky,Allhelgonakyrkan ¢,Jens Ngrbaek, May 2018
1376,Lund_02716,Building,Retail,Outlet store,Boutique,Marketplace,Bazaar,,,,,Jakt & Friluftsgarder,yg LR, May 2017
1379,Lund_00113,Vehicle,Town,Car,Urban area,Transport,Street,Landmark,Mode of transport,Architecture,Neighbourhood,9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017
1387,Lund_01790,Building,Architecture,Landmark,Classical architecture,Palace,Facade,House,Sky,Courthouse,Mansion,Lundagérd g,‘\;) Vesna Fati¢, May 2017
1389,Lund_01942,Crane,Urban area,Construction,Metropolitan area,Architecture,Sky,Transport,City,Building,Condominium,Kommunhuset Kristz,Jack Forsberg, May 2017
1412,Lund_02383,Property,Architecture,Land lot,Real estate,Sky,Building,Facade,Soil,House,Landscape,MAX IV Laboratory,@ hormiai7é, May 2016
1421,Lund_03169,Natural landscape,Nature,Natural environment,Marsh,Nature reserve,Water,Wetland,Sky,Bank,Floodplain,L TR TR,Charlotte Skarin, May 2017
1443,Lund_01231,Landmark,Medieval architecture,Architecture,Building,Classical architecture,Gothic architecture,Cathedral,Place of worship,Facade,Steeple,[T T o1 T T T,Wal dek, May 2010
1453,Lund_01431,Metropolitan area,Waterway,Architecture,City,Mixed-use,Building,Human settlement,Urban area,Condominium,Tower block,Loppmarknad,J) JAKAWAT PUMP, May 2017
1457,Lund_01847,Landmark,Palace,Château,Flower,Spring,Estate,Stately home,Plant,Garden,Building,Lundagérd,% Mohammad A.M, May 2018
1474,Lund_02817,Landmark,Building,Architecture,Sky,Town,City,Facade,Historic site,Church,Tourism,Stadsparken,J  Jonathan Ohrling, May 2017
1478,Lund_00196,Residential area,Building,Neighbourhood,Town,Human settlement,Property,City,Apartment,Mixed-use,Architecture,e Sumeet Ranjan S,e Sumeet Ranjan S, May 2017
1480,Lund_02182,Tree,Natural landscape,Nature,Sky,Vegetation,Green,Grass,Natural environment,Light,Sunlight,Rinnebick Gorge 2,Mido Lii, May 2018
1484,Lund_03143,Sky,Natural landscape,Cloud,Green,Pasture,Grassland,Natural environment,Grass,Land lot,Horizon,. Matthew H. Motz,. Matthew H. Motz, May 2018
1488,Lund_00547,Town,City,Town square,Human settlement,Building,Public space,Landmark,Plaza,Mixed-use,Architecture,Lundagérd,'v Rafael Schwartz, May 2018
1497,Lund_01543,Natural landscape,Garden,Vegetation,Tree,Grass,Botanical garden,Grassland,Nature reserve,Meadow,Plant,Botanical Garden,) Habib ElRachidi, May 2018
1504,Lund_01319,Landmark,Architecture,Building,Estate,House,Sky,Rural area,Landscape,Mansion,Home,Lund Observatory,Jonathan Lundbe, May 2018
1505,Lund_00979,Landmark,Medieval architecture,Architecture,Building,Church,Place of worship,Steeple,Cathedral,Facade,Classical architecture,DI TN G BT T,"-"";h‘ Larysa Rehab", May 2017
1506,Lund_00816,Building,Property,Architecture,Château,Tree,Estate,Stately home,House,Church,Historic house,Lundagérd,WYY T 6], May 2018
1510,Lund_02247,Straw,Hay,Hut,Grass,Grass family,Tree,Environmental art,Rural area,Plant,Thatching,-1 TL T B T B G G,Richard Nilsson, May 2017
1511,Lund_02913,Sky,House,Morning,Cloud,Rural area,Architecture,Tree,Home,Building,Grass,Virpingeskolan ¢,o Jef Kong, May 2017
1512,Lund_00798,Landmark,Architecture,Building,Medieval architecture,Stately home,Château,Facade,Turret,Palace,Castle,Lundagérd 8,N Nikhil Dharap, May 2018
