1987,3,Street management and city design,"EP Fowler - Social Forces, 1987 - academic.oup.com","… Jacobs' prescriptions for North American cities used concepts which closely paralleled
these characteris- tics of North America's postwar development. Very briefly, her
argument was that a city's vitality is nurtured by physical diversity … 
",  Cited by 51 Related articles All 6 versions  
1987,3,Face as an image of the city: an integrated approach toward city diagnosis,JCS Wang - 1987 - ttu-ir.tdl.org,"… urban economic studies or urban social studies. This dissertation will employ an interdisciplinary
approach in identifying city vitality. b. To establish a more complete and comprehensive city data
bank: A city data bank is indispensable for urban analysis and comparison. City … 
",  All 4 versions  View as HTML 
1987,3,[PDF][PDF] Using concensus (sic) building techniques to assist in dev. of historic...,MLP Elliott - 1987 - smartech.gatech.edu,"Page 1. 14:21:10 OCA PAD INITIATION - PROJECT HEADER INFORMATION 09/22/87 Active
Project #: D-48-807 Ze-ntexT5154-0A0 Contract#: CONT DTD 870909 1 Prime Yh
1B02L22P0801QB1A0 `^' Subprojects ? : N Main project #: Cost share #: Center shr #: Mod # … 
",   View as HTML 
1988,6,American downtowns: Past and present attempts at revitalization,"RJ Carey - Built Environment (1978-), 1988 - JSTOR","Page 1. American Downtowns: Past and Present Attempts at Revitalization ROBERT J. CAREY
The US retail industry left the city with the out-movement of jobs and people in the 1950s and
1960s - and the 'mailing of America' caused major decline in many city centres … 
",  Cited by 21 Related articles All 2 versions  
1988,6,The urban underground space environment and human performance,"H Xueyuan, S Yu - Tunnelling and underground space technology, 1988 - Elsevier","… within 15 m, under the central district. I II Shanghars experience has proven that use
of the underground natural resource can contribute to a city's vitality and vigor. Field
Measurement and Analysis of the Underground Environment … 
",  Cited by 7 Related articles  
1988,6,[PDF][PDF] Importance of Selected Telecommunications Management Job Functions as Perceived by Telecommunications Managers of Fortune 500 Companies,RI Ackerson - 1988 - shareok.org,"… xi Page 13. CHAPTER I THE RESEARCH PROBLEM Background of the Study ""In the past, a
city's vitality was contingent on its proximity to natural resources as well as to waterways and
rail lines that could transport the city's products to distant localities"" (Costigan, 1984, p. 49) … 
",  Related articles All 2 versions  View as HTML 
1988,6,Planning for pedestrians in the core of South African cities,"W Van Zyl - Stads-en Streeksbeplanning= Town and Regional …, 1988 - ingentaconnect.com","… same broad field. REFERENCES: Lynch, Kevin (1974). The Image of the City, MIT.
Van Zyl, ED.W. (1983) The Human Aspects of City Vitality, Centre City Report,
International Downtown As- soc. Washington, USA. Van Zyl, ED … 
",  Related articles All 2 versions  
1988,6,Public Use and Treatment as an Equal: An Essay on Poletown Neighborhood Council v. City of Detroit and Hawaai Housing Authority v. Midkiff,"DRE Aladjem - Ecology LQ, 1988 - HeinOnline","Page 1. Public Use and Treatment as an Equal: An Essay on Poletown Neighborhood Council
v. City of Detroit and Hawaii Housing Authority v. Midkiff David R. E. Aladjem* [N]or shall private
property be taken for public use, without just compensation … 
",  Cited by 1 Related articles All 4 versions  
1988,6,[BOOK][B] The politics of capital investment: The case of Philadelphia,CT Adams - 1988 - books.google.com,"Page 1. BiqdppBßqd jo asir) aqx лжииззлм Ä0 S3bLTI0<í Page 2. Page 3. The Politics
of Capital Investment ""This One RQN7-7N2-Z2Z7 Page 4. Series in Urban Public Policy
Richard Rich, Editor Page 5. — the POLITICS of CAPITAL … 
",  Cited by 47 Related articles All 2 versions  
1989,6,Berlin as a Center of Science and Technology: Challenge and Necessity,"J Starnick - Views of Berlin, 1989 - Springer","… While on the one hand, the economic entities, which indeed at one time formed the basis
of the city's vitality, have moved else- where, on the other hand, in other areas, especially
in cultural and scientific creativity, the city itself is as vital as ever … 
",   
