Authors	records	% of 829
DE LUIS M	1	0.121
DE NADAI M	1	0.121
DECOUX V	1	0.121
DEDELE A	1	0.121
DEFORGE BR	1	0.121
DEL CASTILLO EM	1	0.121
DELHAYE JP	1	0.121
DELPIERRE N	1	0.121
DELSHAMMAR T	1	0.121
DEMERS RY	1	0.121
DEMIRAL Y	1	0.121
DEMLING F	1	0.121
DENG K	1	0.121
DENI	1	0.121
DERWING TM	1	0.121
DESAUTELS S	1	0.121
DESLAURIERS A	1	0.121
DEVECCHI M	1	0.121
DEVOE-WESTON M	1	0.121
DEYO RA	1	0.121
DHANANI A	1	0.121
DHINGRA M	1	0.121
DI FAZIO S	1	0.121
DI LELLA LA	1	0.121
DI ROSA C	1	0.121
DIAZ-BONE RA	1	0.121
DICIUNAITE-RAUKTIENE R	1	0.121
DIETSCH DK	1	0.121
DIETZ A	1	0.121
DILAVER Z	1	0.121
DINARDI C	1	0.121
DING Y	1	0.121
DIONISIO I	1	0.121
DJURDJEVIC LL	1	0.121
DOI T	1	0.121
DOLLAR JG	1	0.121
DOLMAN N	1	0.121
DOMINGUES G	1	0.121
DONAHOE MP	1	0.121
DONAIRE-GONZALEZ D	1	0.121
DONEGAN L	1	0.121
DONG D	1	0.121
DONG L	1	0.121
DONG YR	1	0.121
DOS SANTOS PD	1	0.121
DOTCHIN C	1	0.121
DOUGHERTY P	1	0.121
DOVEY K	1	0.121
DRAPER J	1	0.121
DRENKHAN R	1	0.121
DRVODELIC D	1	0.121
DU LM	1	0.121
DU TY	1	0.121
DU YY	1	0.121
DUAN YQ	1	0.121
DUCCI ME	1	0.121
DUESTER L	1	0.121
DUMITRASCU M	1	0.121
DUNFORD M	1	0.121
DUNN J	1	0.121
DUNN N	1	0.121
DUNN RCM	1	0.121
DUNSE N	1	0.121
DURIASZ J	1	0.121
DURKOVIC J	1	0.121
DURUR MO	1	0.121
DUSTAN P	1	0.121
DVORAK M	1	0.121
DWORETZKY BA	1	0.121
EASTON PS	1	0.121
EFIMOVA NI	1	0.121
EFTEKHARY K	1	0.121
EGER RJ	1	0.121
EILERTSEN O	1	0.121
EISINGER P	1	0.121
EL MENCHAWY A	1	0.121
ELLEY CR	1	0.121
ELLIS N	1	0.121
ELSADEK M	1	0.121
ELYASI N	1	0.121
ELZERMAN K	1	0.121
EMILSSON T	1	0.121
ENGEL-YAN J	1	0.121
ENGSTROM S	1	0.121
EPPEL-HOTZ A	1	0.121
ERDOGAN E	1	0.121
EREMIJA MS	1	0.121
ERFANIFARD Y	1	0.121
ERGOR G	1	0.121
ERKARTAL PO	1	0.121
ERMAN O	1	0.121
ESCAMILLA V	1	0.121
ESPER J	1	0.121
ESPOSITO S	1	0.121
ESTRADA M	1	0.121
ETMINANI-GHASRODASHTI R	1	0.121
EVANS B	1	0.121
EVERARD M	1	0.121
EXTRA G	1	0.121
FABBRE VD	1	0.121
FACKOVCOVA Z	1	0.121
FAGERLIN A	1	0.121
FAGGIAN A	1	0.121
FAJSTAVR M	1	0.121
FALIH K	1	0.121
FALKINGHAM J	1	0.121
FALLAH SN	1	0.121
FALLICK A	1	0.121
FAN DD	1	0.121
FAN DW	1	0.121
FAN W	1	0.121
FAN X	1	0.121
FAN XY	1	0.121
FANEA-IVANOVICI M	1	0.121
FARAHBAKHSH M	1	0.121
FARRAR ME	1	0.121
FARRER G	1	0.121
FASSNACHT FE	1	0.121
FEGHHI J	1	0.121
FEI T	1	0.121
FEILHABER I	1	0.121
FEIZI M	1	0.121
FELLANDER-TSAI L	1	0.121
FENG YH	1	0.121
FERNANDES CLF	1	0.121
FERNANDEZ BG	1	0.121
FERRAS C	1	0.121
FERREIRA D	1	0.121
FIGUEROA C	1	0.121
FILLIT H	1	0.121
FINKELSTEIN J	1	0.121
FINKELSTEIN M	1	0.121
FITHRI CA	1	0.121
FITZGERALD D	1	0.121
FLETCHALL AM	1	0.121
FLORES Z	1	0.121
FLORES-MARTINEZ MN	1	0.121
FOLLINI C	1	0.121
FONTI P	1	0.121
FOORD J	1	0.121
FOREMAN S	1	0.121
FORJAZ MJ	1	0.121
FORSYTH A	1	0.121
FOULKES JL	1	0.121
FRAGA S	1	0.121
FRANCK U	1	0.121
FRANKE WD	1	0.121
FRATI L	1	0.121
FREEMAN CG	1	0.121
FREEMAN-BENSON B	1	0.121
FREITAS MC	1	0.121
FREITAS MD	1	0.121
FREUND B	1	0.121
FRIED LP	1	0.121
FRITZ A	1	0.121
FU JY	1	0.121
FU LJ	1	0.121
FU ZY	1	0.121
FUCHS F	1	0.121
FUJIOKA K	1	0.121
FULMAN N	1	0.121
GABE TM	1	0.121
GAERTIG T	1	0.121
GAGGI C	1	0.121
GAJIC G	1	0.121
GALAKO VA	1	0.121
GALDINI R	1	0.121
GALSTER G	1	0.121
GAMBARDELLA C	1	0.121
GANESAN S	1	0.121
GAO L	1	0.121
GAO WJ	1	0.121
GAO YS	1	0.121
GARAYEV J	1	0.121
GARCIA S	1	0.121
GARCIA-ARIAS MF	1	0.121
GARCIA-CAMACHA I	1	0.121
GARCIA-ORENES F	1	0.121
GARLINGHOUSE C	1	0.121
GARREC JP	1	0.121
GARRICK N	1	0.121
GARRICK NW	1	0.121
GARROCHO C	1	0.121
GASBARRE LC	1	0.121
GAUCHAT G	1	0.121
GAUDINO S	1	0.121
GAUVIN L	1	0.121
GAYER L	1	0.121
GEERTS W	1	0.121
GEITH C	1	0.121
GENG QS	1	0.121
GHAFFARI L	1	0.121
GHAHFAROKHICI SB	1	0.121
GHALENOEI M	1	0.121
GHASEMI Z	1	0.121
GIAGLI K	1	0.121
GIBSON C	1	0.121
GIDLOW C	1	0.121
GIDLOW CJ	1	0.121
GILLESPIE GL	1	0.121
GILLNER S	1	0.121
GIM THT	1	0.121
GIORDANI P	1	0.121
GIORDANO G	1	0.121
GIOVINO A	1	0.121
GIRIDHARAN R	1	0.121
GIVEN BA	1	0.121
GO DH	1	0.121
GODBOLD DL	1	0.121
GODDARD HC	1	0.121
GODDARD R	1	0.121
GOLANI A	1	0.121
GOLDBERG P	1	0.121
GOLTSEV V	1	0.121
GONZALEZ MJG	1	0.121
GONZALEZ-MEDINA RE	1	0.121
GORDON P	1	0.121
GORNOSTAEVA G	1	0.121
GORTER D	1	0.121
GOSSELIN C	1	0.121
GOUGE TR	1	0.121
GOZDZICKA-JOZEFIAK A	1	0.121
