,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
1332,Lund_03144,Sky,Cloud,Grassland,Daytime,Field,Nature,Green,Plain,Natural landscape,Cumulus,Northward view at Lt,S Sanbao Xu, Apr 2013
1333,Lund_00272,Landmark,Architecture,Spring,Public space,Building,,,,,,Lundagérd,=) Madelaine Sundk, May 2017
1334,Lund_00071,Architecture,Building,Medieval architecture,,,,,,,,@ Saadiyah Darus,21 CRET 1),
1335,Lund_00601,Building,Landmark,Medieval architecture,Architecture,Place of worship,Church,,,,,Domkyrkoplatsen,a Mattias Nord, Jul 2016
1336,Lund_02891,Building,Landmark,Estate,Architecture,Mansion,Stately home,Official residence,,,,2015-06-18_12_25_(,i\ 1T T, Jun 2015
1337,Lund_00019,Tree,Garden,Natural landscape,Grass,Lawn,Botanical garden,Park,Botany,,,@ Mohammad Wat,@ Mohammad Wat, Oct 2017
1338,Lund_01742,Natural landscape,Body of water,Nature,Bank,Water resources,Water,Nature reserve,Vegetation,Natural environment,Pond,Stadsparken,Martin Andersso, May 2018
1339,Lund_01100,Aerial photography,Landmark,Bird's-eye view,Urban area,City,Building,Architecture,,,,Ideon Science Park,'?:“ jan kees dommis, Mar 2018
1340,Lund_02031,Body of water,Natural landscape,Nature,Water resources,Pond,Bank,Reflection,Water,Lake,Natural environment,Ankdammen.,Ingegerd Karlsso, Oct 2016
1341,Lund_02170,Building,Property,Architecture,Landmark,Grass,Estate,Stately home,,,,Historiska museet vi,Simius Taaravare, Oct 2016
1342,Lund_01565,Property,House,Building,Roof,Home,,,,,,Kulturen,Giulia Spada, Aug 2018
1343,Lund_03198,Architecture,Building,Landmark,Medieval architecture,Cathedral,Place of worship,Gothic architecture,Church,,,[T T o1 T T T,Piyush Goyal, Sep 2018
1344,Lund_00751,Building,Classical architecture,Château,Landmark,Palace,Mansion,Architecture,Estate,Manor house,,Lundagérd {,Lundagérd {, Jun 2017
1345,Lund_00777,Transport,Architecture,Landmark,Building,Mode of transport,Town,Vehicle,,,,Lundagérd 9,= Norbert Derbl, Jul 2018
1346,Lund_00491,Estate,Mansion,Building,Palace,Stately home,Château,Official residence,,,,Lundagérd 9,J ) Jens Jensen, Jun 2014
1347,Lund_01205,Building,Landmark,Architecture,Estate,Classical architecture,Palace,Mansion,Sky,House,,Lundagérd 9,(%) Lucila Cetin, Jul 2016
1348,Lund_01083,Landmark,Building,Architecture,Sky,Medieval architecture,,,,,,(I LR L,"C"":} Leszek A Gasien", Jul 2018
1349,Lund_01929,Building,Architecture,Property,Landmark,Facade,Town,Stately home,House,,,Grand Hotel Lund,3 Martin Solari, Sep 2012
1350,Lund_02253,Natural landscape,Road,Land lot,Trail,Property,Nature reserve,Thoroughfare,Dirt road,,,[T ¢,. Sookyong Lee, Apr 2017
1351,Lund_00907,Building,Architecture,Landmark,Classical architecture,Palace,Property,Mansion,Estate,House,,Lundagérd,0 Joachim Maxein, Aug 2017
1352,Lund_00741,Medieval architecture,Architecture,Building,Landmark,Place of worship,Gothic architecture,Cathedral,,,,[T TV HTET 3 T,a Abubakar M, Aug 2017
1353,Lund_01962,Landmark,Building,Architecture,Town,Church,Sky,City,Medieval architecture,Urban area,Facade,Lundagérd,Ronan Watson, Aug 2017
1354,Lund_01745,Property,Estate,House,Building,Home,Mansion,Manor house,,,,Botanical Garden,Alicja Lewandow, Sep 2017
1355,Lund_01164,Urban area,Metropolitan area,City,Aerial photography,Bird's-eye view,Sky,,,,,Elite Hotel Ideon,—“ EEC N, May 2017
1356,Lund_01998,Race track,Road,,,,,,,,,Park Inn by Radissor,£ Leo Overby,
1357,Lund_00169,Town,,,,,,,,,,@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
1358,Lund_00770,Architecture,Medieval architecture,Building,Landmark,Place of worship,Classical architecture,Facade,,,,Lund Cathedral,S IR e T e, Nov 2017
1359,Lund_02055,Landmark,Medieval architecture,Building,Architecture,Historic site,,,,,,L (LT T G,Anna Gester, Jun 2018
1360,Lund_03135,Town,,,,,,,,,,Lundagérd ¢,& Obbie Hadrian, Oct 2018
1361,Lund_00826,Medieval architecture,Property,Castle,Building,Architecture,Château,,,,,Lundagérd ¢,@ Kiryl Shantyka, Jun 2017
1362,Lund_01334,Building,Palace,Property,Classical architecture,Architecture,Estate,Mansion,,,,Lundagérd |,RS R, Sep 2017
1363,Lund_00980,Town,City,Public space,Human settlement,Town square,Building,Architecture,Plaza,Street,,[T e T T T,@ Daniel Klein, Aug 2018
1364,Lund_01299,Sky,Garden,Botanical garden,Tree,Property,Cloud,Daytime,Wilderness,Natural environment,Botany,Stadsparken,Andrii Salnikov, Jul 2018
1365,Lund_01780,Classical architecture,Architecture,Building,Landmark,Facade,,,,,,Lundagérd 9,IR G, Apr 2018
1366,Lund_00078,Property,House,Building,Architecture,Estate,,,,,,Lundagérd,I\ ) Stana Minincic,
1367,Lund_02205,Sky,Grass,Natural landscape,Bench,Cloud,,,,,,Oliver Jannessor,Oliver Jannessor, Jul 2017
1368,Lund_03178,Building,Architecture,Landmark,Property,Town,House,Sky,Facade,,,[T e T T T,Daniel Klein, Aug 2018
1369,Lund_01184,Water,Tree,Botany,,,,,,,,Lundagérd,T Terese Larsson E, Jul 2018
1370,Lund_02463,Pasture,Grassland,Sky,Grazing,Natural environment,Bovine,Natural landscape,Farm,Rural area,Grass,Nobbelbvs mosse,g ) Andreas Ahlgvist, May 2018
1371,Lund_02310,Property,Architecture,Building,Town,Sky,Neighbourhood,Public space,Residential area,Tree,House,Viking School,0 Travel to, Jul 2017
1372,Lund_00002,Classical architecture,Building,Architecture,Landmark,,,,,,,Universidad,N Nacho Laguna, Jul 2016
1373,Lund_00220,Landmark,Building,Sky,Architecture,Property,Mansion,Palace,House,Classical architecture,Estate,Lundagérd,T Terese Larsson E, Jul 2018
1374,Lund_02328,Grassland,Grass,Pasture,,,,,,,,Lunds Pistolklubb :,@ Jonas Ezzi, Aug 2016
1375,Lund_01468,Landmark,Garden,Mansion,Palace,Flower,Spring,Architecture,Estate,Building,Stately home,Lundagérd,% Mohammad A.M, May 2018
1376,Lund_02491,Sky,Natural landscape,Natural environment,Plain,Field,Land lot,Cloud,Grassland,Pasture,Grass family,Nobbelbvs mosse,M Maria Tracz, Jul 2017
1377,Lund_02017,Body of water,Waterway,Canal,Water,Water transportation,Sky,River,Bridge,Channel,Town,Coop Konsum,J  Janus sobrzezeje, Aug 2018
1378,Lund_00246,Landmark,Building,Estate,Palace,Official residence,Mansion,Stately home,Presidential palace,Classical architecture,,Lundagérd 8,g NI LYo, Jun 2014
1379,Lund_00507,Body of water,Water resources,Stream,Watercourse,Water,Waterway,Natural landscape,River,Stream bed,Geological phenomenon,Rinnebiéck Gorge,a Daniel Nilsson, Nov 2017
1380,Lund_01464,Landmark,Sky,Architecture,Tree,Spire,Steeple,Building,,,,Lundagérd,@ ST EE ), Oct 2007
1381,Lund_00759,Landmark,Architecture,Building,Medieval architecture,Cathedral,Sky,Facade,Gothic architecture,Place of worship,City,Lundagérd,@ Pedro J Martin, May 2018
1382,Lund_01883,Medieval architecture,Building,Architecture,Landmark,Church,Place of worship,,,,,Lundagérd,Sai Prathyusha K, Sep 2017
1383,Lund_00615,Landmark,Building,Architecture,,,,,,,,Lundagérd,@ loanna Giannopo, Aug 2016
1384,Lund_00260,Landmark,Building,Estate,Mansion,Palace,Architecture,Official residence,House,Presidential palace,,Lundagérd 8,@ Zhu Yanwei, Aug 2017
1385,Lund_00755,Landmark,Architecture,Building,Classical architecture,Property,Sky,,,,,Lundagérd,s Hermes Spaink,
1386,Lund_02087,Building,Estate,Palace,Mansion,Landmark,Official residence,Architecture,Stately home,,,Lundagérd 9,aldijana aldy,
1387,Lund_00929,Classical architecture,Building,Landmark,Architecture,Mansion,Palace,Estate,Official residence,,,Lundagérd ¢,@ Ludovic Barth, Jul 2015
1388,Lund_01190,Landmark,Building,Architecture,Medieval architecture,,,,,,,[T T BT T T,f@: Mister No, Sep 2017
1389,Lund_01179,Building,Château,Estate,Stately home,Architecture,Mansion,,,,,Grand Hotel Lund,J Jason Chaikin, Oct 2016
1390,Lund_00723,Building,Landmark,Architecture,City,Property,Town,Human settlement,Stately home,,,Lundagérd,‘ Ozren HadZiagi¢-, Jul 2007
1391,Lund_01801,Reflecting pool,Water,Botany,,,,,,,,Lundagérd,Fernando Gémez, Aug 2017
1392,Lund_00805,Building,Property,Landmark,Estate,Architecture,Mansion,Palace,Stately home,,,Lundagard ¢,e; P, Sep 2018
1393,Lund_00297,Building,Landmark,Architecture,Sky,City,,,,,,Lund Cathedral,Alexander Williar, Jul 2015
1394,Lund_01213,Building,Estate,Property,Mansion,Landmark,Palace,Architecture,House,Sky,,[T T o1 T 1T,A Abdo Fadl, Jul 2017
1395,Lund_02180,Fountain,Grass,Park,Public space,Water feature,Water,,,,,Stadsparken g,Stadsparken g, Sep 2017
1396,Lund_01402,Building,Architecture,Landmark,Medieval architecture,,,,,,,Lund Cathedral,Lituanica Apartrr, Jan 2018
1397,Lund_02604,Natural landscape,Sky,Grassland,Natural environment,Pasture,Rural area,Grass,Line,Tree,Field,Nobbel6vs mosse,Nobbel6vs mosse, Dec 2016
1398,Lund_00249,Building,Landmark,Château,Property,Estate,Architecture,Stately home,Mansion,Manor house,,Bantorget 8,Bantorget 8, Mar 2017
1399,Lund_03089,Fountain,Water,Water feature,Leisure,Water resources,Park,,,,,Plaskedamm pa Klos,B Bengt Rosberg, Jun 2016
1400,Lund_01751,Property,Building,Estate,Town,Public space,,,,,,Lundagérd,Annette Friberg, Aug 2018
1401,Lund_00330,Landmark,Building,Palace,Architecture,Estate,Classical architecture,Mansion,Sky,,,Lundagérd ¢,i:%‘ } (N1 ET] 9, Feb 2012
1402,Lund_02037,Estate,Property,Building,Mansion,Public space,,,,,,Lundagérd,Mauricio Heyerm, Oct 2015
1403,Lund_01509,Garden,Botanical garden,Tree,Natural landscape,Plant,Botany,Park,Spring,,,Stadsparken,Patrik Ganhagen, Sep 2016
1404,Lund_00359,Building,Landmark,Architecture,Palace,Classical architecture,Property,Mansion,Estate,House,Official residence,A  Alejandro Carrillc,A  Alejandro Carrillc, Aug 2016
1405,Lund_01160,Sky,Landmark,Cloud,Town,Property,Architecture,Public space,Building,Estate,Tree,Lundagérd,NG R G, Jul 2017
1406,Lund_00445,Landmark,Architecture,Building,Medieval architecture,Classical architecture,Sky,Place of worship,Church,Facade,Historic site,Lund Cathedral,% Zina Mazurkevyc, Jun 2018
1407,Lund_01674,Landmark,Medieval architecture,Architecture,Building,Place of worship,Sky,Church,Cathedral,Gothic architecture,Steeple,[T T e T T T,g ISR e, Sep 2018
1408,Lund_01641,Estate,Building,Property,Mansion,Landmark,Palace,Château,Stately home,,,Lundagérd 9,dimitar vitev, Sep 2016
1409,Lund_00166,Street,Alley,Road,Neighbourhood,Town,Lane,Urban area,Infrastructure,Human settlement,Building,e Saadiyah Darus,e Saadiyah Darus, Sep 2009
1410,Lund_01781,Architecture,Landmark,Building,Sky,Medieval architecture,,,,,,Lund Cathedral,@ Carsten Andreas,
1411,Lund_02467,Sky,Natural landscape,Grass,Cloud,Tree,Natural environment,Morning,Waterway,Rural area,Pasture,L TR TR,vg Aymeric Rivollier,
1412,Lund_00523,Building,Estate,Mansion,Palace,Landmark,Property,Stately home,Classical architecture,Official residence,Château,Lundagérd,Krystian Czernek, Oct 2017
1413,Lund_02140,Building,Architecture,Landmark,City,Town,Human settlement,Mixed-use,Urban area,,,WAYNE'S COFFEE ;,@ (T QT T, Jan 2017
1414,Lund_00533,Palace,Landmark,Building,Mansion,Estate,Architecture,Official residence,Stately home,,,Lundagérd,@ Barbara O'Neal, Jun 2017
1415,Lund_00931,Classical architecture,Building,Landmark,Architecture,Mansion,Palace,Estate,Official residence,,,Lundagérd ¢,@ Ludovic Barth, Jul 2015
1416,Lund_03158,Tree,Architecture,House,Building,,,,,,,Greenhouse c,Q! Ulrik Ivarsson,
1417,Lund_01078,Residential area,Sky,Daytime,Architecture,Urban area,Property,Tree,Metropolitan area,Condominium,Neighbourhood,Bjeredsparken ¢,@ NI R, Apr 2018
1418,Lund_01682,Building,Architecture,Medieval architecture,Landmark,Place of worship,Church,,,,,[T L He 1 BT,. EECIen, Sep 2017
1419,Lund_02208,Sky,Land lot,Grass,Grass family,Road,,,,,,Klosteréingshdjden,C ) Christer Annerste, Jul 2018
1420,Lund_01845,Town,City,Landmark,Public space,Pedestrian,Tourism,Human settlement,Town square,Street,Urban area,Stortorget H,Ani Vera, May 2017
1421,Lund_02309,Morning,Waterway,Sunlight,,,,,,,,Rinnebéck Gorge,fi\ Jonathan Lundbe,
1422,Lund_00331,Spring,Public space,Estate,Mansion,Campus,Building,Palace,,,,Lundagérd 8,%) David Smith, May 2017
1423,Lund_00269,Estate,Building,Landmark,Mansion,Palace,Architecture,Official residence,,,,Lundagérd,N WO Y G, May 2017
1424,Lund_00835,Property,Building,Estate,Architecture,Stately home,,,,,,Lundagérd,6‘ Jonathan Bryce,
1425,Lund_01257,Landmark,Architecture,Building,Sky,Classical architecture,Medieval architecture,,,,,Lund Cathedral,Stefan Tscherfing, Jun 2017
1426,Lund_01626,Classical architecture,Architecture,Landmark,Building,Facade,,,,,,Lundagérd,RV O A,
1427,Lund_01580,Property,Estate,Building,Mansion,Architecture,Stately home,,,,,Lundagérd ¢,@ Ludovic Barth, Jul 2015
1428,Lund_01966,Garden,Spring,Natural landscape,Tree,House,Plant,Botany,Sky,Flower,,Botanical Garden,Stefanie Gao, May 2017
1429,Lund_02565,Grassland,Farm,Pasture,Land lot,Rural area,,,,,,Nobbelbvs mosse,3 Michael Hanssor, Jan 2018
1430,Lund_00957,Landmark,Classical architecture,Building,Architecture,Palace,Mansion,,,,,Lundagérd ¢,Lundagérd ¢, Jun 2017
1431,Lund_02407,Building,Town,Medieval architecture,Architecture,Neighbourhood,,,,,,Katedralskolan,% Zina Mazurkevyc, Jun 2018
1432,Lund_00284,Building,Estate,Property,Architecture,House,Landmark,Mansion,Official residence,,,Botanical Garden,@ Hans Jirgen Klai, Sep 2018
1433,Lund_00238,Building,Landmark,Estate,Palace,Property,Architecture,Mansion,Official residence,House,Sky,[TV T c,DI TG EELED),
1434,Lund_02223,Building,Transport,,,,,,,,,Richard Bjuhr,Richard Bjuhr, Jul 2017
1435,Lund_02352,House,Property,Vegetation,Leaf,Building,Wall,Brick,Architecture,Tree,Window,Lundagérd ¢,& Obbie Hadrian, Oct 2018
1436,Lund_02353,Interior design,Building,Room,,,,,,,,,, Aug 2017
1437,Lund_03193,Landmark,Architecture,Building,,,,,,,,. Kiryl Shantyka,. Kiryl Shantyka,Photo
1438,Lund_01170,Landmark,Building,Architecture,Sky,Historic site,Church,Facade,,,,[T T o1 T T T,@ Jim Wu,
1439,Lund_00411,Estate,Building,Property,Architecture,Château,Tree,Mansion,House,,,Lundagérd 9,‘ﬁ N,
1440,Lund_02768,Sky,Horizon,Cloud,Evening,Water,Dusk,Sunset,Morning,Calm,River,Nobbel6vs mosse,& AS7,
1441,Lund_01948,Town,Building,Château,Architecture,Sky,Medieval architecture,Roof,Steeple,,,Bantorget,=B oV [T, Jun 2017
1442,Lund_00475,Building,Property,Estate,Château,Landmark,Architecture,Mansion,Manor house,Sky,Stately home,Grand Hotel Lund,K Kristina Johanss, Apr 2017
1443,Lund_01183,Landmark,Building,Architecture,Town,Sky,,,,,,Lunds universitet Int,@ Jun Luo, Jun 2017
1444,Lund_00583,Estate,Building,Mansion,Palace,Landmark,Property,Stately home,Official residence,Château,,Lundagérd,N WO Y G, May 2017
1445,Lund_00744,Estate,Building,Mansion,Landmark,Property,Palace,Architecture,Stately home,Château,House,[T T VT,@ Adrian Popescu, Sep 2016
1446,Lund_01149,Mansion,Estate,Palace,Building,,,,,,,Lundagérd,@ Thomas Kamph, Jun 2014
1447,Lund_00694,Landmark,Architecture,Building,Property,Estate,Mansion,Classical architecture,Stately home,House,Château,Lundagérd,& Nikola Mladenov, Jun 2011
1448,Lund_02514,Landmark,Palace,Building,Architecture,Sky,Estate,Mansion,,,,,,Photo
1449,Lund_02096,Property,Building,Architecture,House,,,,,,,Gamla Biskopshuset,ﬁ Jonathan Lundbe, May 2018
1450,Lund_01545,Transport,,,,,,,,,,Renaissance rest. &,Alexander denstc, Aug 2017
1451,Lund_01419,Classical architecture,Architecture,Building,Landmark,Facade,,,,,,Italia Il Ristorante,5@' Luis Villeda, Mar 2016
1452,Lund_01454,Building,Architecture,Sky,Landmark,Panorama,Town,Photography,Medieval architecture,,,(I Ee G B,& Timofei Muntean,
1453,Lund_01092,Landmark,Building,Mansion,Estate,Property,Architecture,House,Sky,,,Lundagérd H,"«’l‘é‘f"" ARG Y", Sep 2016
1454,Lund_03068,Property,,,,,,,,,,Rosa Tornet Montes:,S ) Sookyong Lee, Jan 2017
1455,Lund_02864,Winter,Landmark,Property,Snow,Building,Architecture,Tree,Home,Freezing,Town,Grand Hotel Lund ¢,@ Roger Olsson, Jan 2017
1456,Lund_01856,Classical architecture,Architecture,Landmark,Building,,,,,,,Lundagérd,‘ Ozren HadZiagi¢-, Jul 2007
1457,Lund_02165,Grass,Green,Lawn,Natural landscape,Tree,House,Estate,,,,Atmosfiren i maj &r,NG ED G, May 2018
1458,Lund_01315,Town,Building,Human settlement,Public space,Plaza,City,Town square,,,,Lundagérd,‘ Ozren HadZiagi¢-, Jul 2007
1459,Lund_02423,Landmark,Architecture,Building,Town,Tree,,,,,,Lundagérd 8,a Katherine M., Jul 2017
1460,Lund_00891,Classical architecture,Building,Landmark,Architecture,Facade,Palace,,,,,Lundagérd,& Bea Kovacsovics, Mar 2018
1461,Lund_02544,Architecture,Property,Building,Facade,Arch,,,,,,Stora Raby Kyrka,"',& Meta Larsson", Sep 2018
1462,Lund_01260,Landmark,Building,Architecture,Tower,Medieval architecture,Facade,,,,,Lund Cathedral,Bertil Truls Jons:, Jul 2017
1463,Lund_01646,Classical architecture,Landmark,Architecture,Building,Sky,Facade,,,,,Lundagérd 8,f} Filipe Naif, Jun 2018
1464,Lund_02392,Residential area,Architecture,Property,House,Sky,Building,Home,,,,Klostergérdens IP,M  Minghua Zhang, Jul 2017
1465,Lund_01347,Urban area,City,Metropolitan area,Town,Roof,Human settlement,Building,Landmark,Cityscape,Suburb,[TV T :,qf‘gu Kaveh Kamran, Aug 2017
1466,Lund_01999,Landmark,Architecture,Sky,Building,,,,,,,Lundagérd,Teena Christense, May 2012
1467,Lund_00504,Body of water,Waterway,Canal,Water,Property,River,Pond,Bank,Reflection,Town,Botanical Garden,@ Christian Stahibe, May 2017
1468,Lund_01054,Natural landscape,Nature,Sky,Water,Reflection,Natural environment,Vegetation,Green,Nature reserve,Cloud,Autumn flood at the,\ ) Anna Honkanen, Sep 2017
1469,Lund_02605,Humpback bridge,Water,Tree,Water resources,,,,,,,Rinnebick Gorge,Q Daniel Nilsson, Aug 2018
1470,Lund_00432,Landmark,Architecture,Building,Sky,Town,Church,,,,,Lund Cathedral g,a ) andrea lucaci, Apr 2018
1471,Lund_02852,Building,Architecture,Classical architecture,Landmark,,,,,,,Rinnebiéck Gorge,a Daniel Nilsson, Nov 2017
1472,Lund_02289,Natural landscape,Sky,Field,Road,Morning,Rural area,Dirt road,Trail,,,N[ AT T T,i\ Bengt Jiirs, Jul 2014
1473,Lund_02368,Water,Vegetation,Natural landscape,Natural environment,Nature reserve,Lake,Sky,Wilderness,Water resources,River,&) Mats Syde,&) Mats Syde, Jun 2017
1474,Lund_02620,Natural landscape,Natural environment,Water,Nature reserve,Freshwater marsh,Marsh,Tree,Fen,Wetland,Bank,Nobbelbvs mosse,3 Michael Hanssor, Jan 2018
1475,Lund_02128,Property,Estate,Tree,House,,,,,,,Lundagérd ¢,@ Ludovic Barth, Jul 2015
1476,Lund_02508,Building,,,,,,,,,,CircleK,m  meelis melsusi@, Apr 2018
1477,Lund_00901,Building,Property,Castle,Estate,Château,Stately home,,,,,Lundagérd ¢,.y t, Sep 2017
1478,Lund_00276,Aerial photography,Residential area,Bird's-eye view,Suburb,Urban area,Metropolitan area,Urban design,Natural landscape,Human settlement,City,Sankt Hans Hill,g b Per Pixel Peterss, Jul 2015
1479,Lund_01013,Property,Building,,,,,,,,,Kulturen |,Kulturen |, Aug 2016
1480,Lund_01687,Building,Architecture,Landmark,Property,Town,Human settlement,City,,,,University Library,6 IR DL, May 2004
1481,Lund_01516,Landmark,Building,Medieval architecture,Castle,,,,,,,Lundagérd 8,@ Merlin Blyth, Jul 2017
1482,Lund_01367,Medieval architecture,Classical architecture,Architecture,Landmark,Building,Gothic architecture,Place of worship,Cathedral,Facade,,[T T o1 T T T,Zoran Prole, Nov 2011
1483,Lund_02272,Pasture,Grassland,Land lot,Grass,Field,Natural environment,Farm,Natural landscape,Meadow,Rural area,Dog park g,Martin Elmér,
1484,Lund_00948,Garden,Botanical garden,Lawn,Grass,Flower,Botany,Yard,Plant,Shrub,Landscaping,Botanical Garden,6 SN YN, Jul 2015
1485,Lund_01122,Classical architecture,Landmark,Building,Architecture,Palace,Facade,Sky,,,,3 Martin Solari,3 Martin Solari, Sep 2012
1486,Lund_00784,Landmark,Building,Architecture,Medieval architecture,Tree,,,,,,[T L He 1 BT,g‘z Serena Fazio,
1487,Lund_02108,Metropolitan area,Building,Architecture,City,Urban area,Tower block,Daytime,Sky,Human settlement,Skyscraper,LRI EL Y T,5‘3.‘..@ LU G, May 2016
1488,Lund_00457,Building,Estate,Palace,Property,Mansion,Landmark,Official residence,Stately home,Architecture,Classical architecture,Lundagérd 9,N Nadia Naji, Aug 2014
1489,Lund_02824,Landmark,Architecture,Building,Sky,Church,Town,Place of worship,Steeple,City,Cathedral,Lundagérd,(@) Steinar Kjeernsrg, Jul 2017
1490,Lund_02130,Nature,Green,Water,Grass,Natural landscape,Lawn,Tree,Property,Pond,,Sankt Jorgen Park,Sankt Jorgen Park, Jun 2017
1491,Lund_01040,,,,,,,,,,,Lundagérd 9,L 1T T,
1492,Lund_00792,Estate,Mansion,Building,Official residence,Palace,Property,Stately home,Manor house,Classical architecture,,Lundagérd,swarnendu chatt, Jun 2016
1493,Lund_00497,Landmark,Building,Architecture,Sky,City,Town,Human settlement,Facade,,,Lund Cathedral ¢,Y U E T 7, Sep 2018
1494,Lund_01026,Landmark,Architecture,Sky,Building,Mansion,Estate,House,,,,Lundagérd,R ' Rodica Adamest, May 2018
1495,Lund_02143,Natural landscape,Property,Lawn,Grass,Land lot,Garden,House,Tree,,,Botanical Garden,(6 loanna Giannopo, May 2017
1496,Lund_02132,Landmark,Sky,Tower,Town,Architecture,Building,Steeple,,,,Lund Cathedral ¢,M Mirek Bartyzel, Sep 2018
1497,Lund_02444,Body of water,Water resources,Natural landscape,Water,Natural environment,Bank,Freshwater marsh,Marsh,Nature reserve,Wetland,. Vahid Asgari,. Vahid Asgari, Aug 2017
1498,Lund_02541,Sky,Natural landscape,Sea,Horizon,Cloud,Water,Coast,Land lot,,,Klosteréngshojden,Klosteréngshojden, Aug 2016
1499,Lund_01465,Building,Natural landscape,Architecture,House,Grass,Estate,,,,,Lundagérd,Sapkaris Nikolao, Sep 2018
1500,Lund_02484,Field,Farm,Land lot,Natural landscape,Crop,Agriculture,Grassland,Grass,Rural area,Grass family,Nobbel6vs mosse,L 1T T, Jul 2014
1501,Lund_01076,Building,Palace,Estate,Official residence,Architecture,,,,,,Lundagérd,Stefanos Karidak, Jun 2017
1502,Lund_00131,Architecture,Building,Landmark,Town,,,,,,,"l\i, Stana Minincic","l\i, Stana Minincic", Jul 2017
1503,Lund_02104,Property,House,Green,Estate,Building,Home,Cottage,,,,Botanical Garden,@ Hans Jirgen Klai, Sep 2018
1504,Lund_02217,Water resources,Waterway,Water,River,Canal,Bank,,,,,Killbybadet g,Gl Daniel Kretz, Jun 2017
1505,Lund_01882,Building,Town,Transport,Vehicle,Architecture,,,,,,Lund Market Hall,ﬁﬁ LR Ny, Jul 2017
1506,Lund_00822,Body of water,Reflection,Water,Nature,Waterway,Natural landscape,Tree,Bank,Canal,River,Botanical Garden,1“{ ) Danijel O'Rourke, Sep 2016
1507,Lund_00014,Landmark,Medieval architecture,Architecture,Building,Place of worship,Classical architecture,Church,Sky,Facade,Cathedral,%~ Juliane Vigané,%~ Juliane Vigané, Apr 2018
1508,Lund_03122,Road,Sky,Cloud,Highway,Asphalt,Lane,Daytime,Freeway,Infrastructure,Transport,Rinnebick Gorge 2,timor talash, Jun 2016
1509,Lund_01843,Garden,Botanical garden,Botany,,,,,,,,Stadsparken,Jonathan Ohrling, May 2017
1510,Lund_00928,Building,Architecture,Landmark,Town,Facade,City,Human settlement,Medieval architecture,Urban area,,[T TV HTET 0 T,Claes Holm, Dec 2012
1511,Lund_02666,Sky,Cloud,Tree,Transport,Public space,,,,,,Linero IP 8,o Travel to, Jul 2017 I
1512,Lund_00976,Landmark,Palace,Estate,Building,,,,,,,Lundagérd 8,N Nikhil Dharap, May 2018
1513,Lund_02756,Pasture,Grazing,Bovine,,,,,,,,Nobbel6vs mosse,M Maria Tracz, Sep 2017
1514,Lund_01293,Landmark,Building,Architecture,Town,Church,Sky,Steeple,City,Clock tower,,Lundagérd,P Peter Wolf, Jun 2018
1515,Lund_01521,Town,Landmark,City,Human settlement,Town square,Public space,Plaza,Street,Building,Flag,Lund Cathedral,Pedro Andrés Bo, Aug 2016
1516,Lund_03114,Building,Architecture,,,,,,,,,Asylen,@ BN PN R, Aug 2017
1517,Lund_01879,Building,Medieval architecture,Landmark,Architecture,Church,Place of worship,Wall,Arch,Cathedral,,[T T o1 11 T,Logan Leske, Sep 2017
1518,Lund_01762,Fountain,Water,Water resources,Water feature,Garden,,,,,,Stadsparken,Gabriel Wennstig, Jun 2016
1519,Lund_00307,Landmark,Architecture,Building,Estate,Medieval architecture,Tree,,,,,[T L He 1 BT,& Timofei Muntean,
1520,Lund_01245,Landmark,Building,Estate,Architecture,Mansion,Sky,Palace,Stately home,,,Lundagérd 9,A) Anna Riggio, Aug 2018
1521,Lund_01620,Property,Estate,House,Natural landscape,Waterway,Cottage,Building,Manor house,,,Botanical Garden,Florent Santaniel, May 2016
1522,Lund_01460,Building,Architecture,Landmark,Medieval architecture,Classical architecture,,,,,,Lund Cathedral :,?ﬁ Mads Frimann, Dec 2015
1523,Lund_02457,Vehicle,Car,Urban area,Building,Architecture,,,,,,Fitness24Seven,e Travel to, Jul 2017
1524,Lund_02256,Guard rail,Sky,Transport,,,,,,,,Klostergérdens IP,‘\ LT,
1525,Lund_01604,Body of water,Natural landscape,Pond,Nature,Bank,Water,Water resources,Duck,Natural environment,Nature reserve,Stadsparken,Goran Svennarp, Oct 2017
1526,Lund_00800,Building,Landmark,Medieval architecture,Architecture,Classical architecture,Place of worship,Church,Facade,Cathedral,Sky,Domkyrkoplatsen,n QICELER UG, Jul 2018
1527,Lund_02266,Water resources,Body of water,Waterway,Stream,Watercourse,Bank,Water,Stream bed,Riparian zone,Arroyo,Rinnebick Gorge 2,Maria Tracz, Sep 2016
1528,Lund_01931,Building,Architecture,Facade,Vehicle,,,,,,,[T T o1 T 1T,Artur Muc, Jun 2010
1529,Lund_02385,Sky,Cloud,Field,Hay,Pasture,Plain,Rural area,Straw,Farm,Grassland,Nobbel6vs mosse,L 1T T, Aug 2014
1530,Lund_02320,Pasture,Grazing,Grassland,Natural landscape,Bovine,Natural environment,Meadow,Rural area,Ranch,Farm,Rinnebick Gorge : H,Q Ani Vera, Aug 2017
1531,Lund_00687,Property,Landmark,Estate,Mansion,Garden,Public space,Building,,,,Lundagérd,H Hans Blomgren, May 2018
1532,Lund_00783,Water,Landmark,Fountain,Architecture,Sky,Tree,Botany,,,,Lundagérd,S GEERS Wy, Aug 2018
